Course	Room	Teacher	Time	Students
003465	PK338	0058557	1	1067241 770198 832928 852456 810196 807750 742461 827460 768507 899440 
006544	PK338	0127086	2	992801 851545 830276 900429 
001551	PK338	0855533	3	850337 828021 905540 833941 909692 833511 830280 771752 914599 908862 
001189	PK338	0138190	4	813277 828065 780485 828467 827460 904706 897911 
002992	PK338	0031400	5	1020150 822753 1068109 875055 1082919 1036027 888735 1067377 795445 1004997 1001196 1002241 1077161 945264 907493 1025522 1081952 1018936 827209 1077482 849022 1024283 998972 1049299 1025644 865667 989432 1058048 1004324 1076776 1005059 848150 906447 992223 836904 982172 1081917 1082150 1008282 1080792 1002706 867494 1020083 948390 1064045 1076922 959337 910056 959200 827963 742549 1076531 773175 1025623 847790 1003128 1066679 1083431 911775 
001559	PK338	0129398	6	825743 
002151	PK338	0470544	7	1078680 1067334 875055 1056722 1083430 1002248 904680 1040874 1036225 1067460 1008387 1084017 1006744 999715 1058223 1065796 1076989 993790 1083594 1068371 945809 992616 1067933 1066778 1036442 1018301 1035148 1055290 1017444 1064045 1065142 1002364 906963 904516 1034405 970262 1004225 1056963 1021867 1047339 773175 1005149 1025629 909240 989590 960068 967988 1009559 
002571	PK338	0564741	8	829837 832137 781976 812824 848789 850613 853072 807702 833657 741707 899316 860257 
007377	PK338	0031522	9	865750 822518 754424 902217 899135 950811 905453 892206 
003505	PK338	1063507	10	850337 858924 854235 806189 768507 
002671	PK338	0138190	11	862176 851187 873190 825935 
005852	PK338	0031416	12	912235 
001843	PK338	0056992	13	1003644 858872 985094 901688 915885 966299 807993 1016996 887308 1007842 819118 773014 992616 1085324 780485 899636 883015 799016 915652 1016793 960068 
002164	PK338	0180723	14	781472 911941 901946 847932 806269 852940 784558 888075 865276 799016 884876 861690 890199 851209 812300 850854 851403 886763 
002162	PK338	0986606	15	781472 911941 901946 847932 959304 806269 1015706 888075 865276 799016 884876 861690 890199 812300 851403 886763 
004853	PK338	0032827	16	858092 899135 856959 755872 
002160	PK338	0004950	17	1004733 954240 1005102 992744 1016434 1008925 701809 945969 862049 917334 786916 901688 988271 899241 966299 972861 1003020 951991 909942 711460 988625 952783 960084 920095 904506 1084909 848150 1002767 1002045 972660 918009 966094 912781 954641 915652 958984 959189 827963 946010 1088180 919283 960037 906896 993506 903917 
002472	PK338	1051497	18	751823 828021 832248 848562 826565 780735 747562 738079 828705 809033 852088 
001566	PK338	0826962	19	908998 889700 988631 1084462 849809 834544 865618 834472 826565 967532 1065945 
005119	PK338	0031560	20	1020370 1041559 976318 32258 
003007	PK338	0222805	21	860204 892333 851310 894845 858850 907155 912081 897101 859186 
004666	PK338	0775640	22	1016434 849245 831800 1067483 915740 
005740	PK338	0031392	23	818674 768049 
003277	PK338	0675005	24	802766 896217 742549 916398 799414 826670 
003003	PK338	0031406	25	900240 1002729 993268 918277 918074 903229 853174 976421 986262 881793 890945 913466 971315 976318 419327 904301 1007799 959092 828705 854724 967988 
003001	PK338	0375562	26	825616 1002729 899241 899419 419327 907155 915543 
008441	PK338	0031462	27	812518 776956 907248 779966 1044791 
007381	PK338	0031611	28	848680 900371 780450 710449 907596 774062 870197 993532 822518 896224 900541 912695 1044561 768049 892206 906362 904706 
001893	PK338	0898918	29	850564 780528 833438 661924 806886 773772 804193 833031 814828 
001890	PK338	0826942	30	768585 834343 
003518	PK338	0915760	31	807993 865667 833941 756275 830276 783959 
004009	PK338	0163316	32	967793 1067334 1078819 1081952 1003476 920400 1018936 1066007 1079444 1068052 1018174 1077294 988625 998351 1064790 906447 1067862 1058180 1041981 1055290 991763 832653 1067724 992186 1065142 1082799 1056963 1056738 861504 1086329 992796 1083626 1085061 1079366 851033 
003454	PK338	0915760	33	1015256 1004997 916427 898872 945034 853174 988657 858924 953178 1007779 1017760 980693 807750 910403 832653 965861 890043 902217 956475 918195 912699 850382 859719 904918 901570 
007877	PK338	0031386	34	1002241 1046439 1058048 1039943 1047318 1032432 1001905 1040045 1040618 
001836	PK338	0898918	35	1004733 954240 1006444 945449 1019827 795445 992744 911936 1066309 828017 1056980 701809 1001613 986094 1013071 908998 780450 907063 917334 1076246 988271 852940 987937 966077 999715 915885 966299 1079771 972861 1049299 1003020 988625 1076776 945809 920095 1064605 1029737 911218 1002047 970193 954830 991668 789284 1066924 1078836 1029787 772927 1010643 966094 912781 904516 958984 959200 970262 912699 1088180 859719 1082907 919283 960037 1084334 993506 903917 861815 911802 1007348 854032 1045379 1006438 
001838	PK338	0168763	36	1040868 1001196 914290 1002405 988620 1018252 906085 1066007 1076437 914299 748765 945635 1067862 1001806 1006899 832653 992189 854345 987276 965861 752318 781424 1001039 771075 831435 848355 867165 1005971 914509 779276 850690 1077380 
002562	PK338	1167856	37	897310 1037291 772005 1044157 897034 849713 1017412 899241 1005199 1067251 1079771 848750 1000355 854138 1000895 990668 986807 1039943 986688 1081917 988544 897931 1020520 851302 1020083 1067748 825024 751495 896287 1000750 806520 999689 1025623 677533 871309 1079366 
007364	PK338	0162977	38	1064385 915006 1006444 900240 876307 1079268 769851 991120 1067377 966414 920251 988245 913946 945264 999712 711336 1053105 903449 985440 1079993 1020695 1041140 963413 1030369 1076854 1018271 1018174 833266 1068371 1004324 966125 1005427 906447 1002047 988544 1041981 1080792 910403 1067502 1021017 671926 1085324 853988 991229 911361 1002036 1073544 1067297 999833 920237 867125 1077413 919158 1015275 1056910 1017339 918519 1076783 888222 1058058 1064270 944831 859409 908461 981989 914076 949279 1019212 1007799 1009104 1003128 1083080 1025533 1076923 989401 1065781 1085061 901570 1079366 1019006 
004355	PK338	0989327	39	1068109 1036027 1005315 1006799 1056281 1064045 825024 818674 1047339 1054176 847790 1084334 900525 1056600 965925 
005845	PK338	0031582	40	1037291 1057779 1044157 1067251 773276 960084 1039868 1030693 988603 1025379 1042335 
005847	PK338	1015598	41	1011104 820055 909942 1057592 780191 1025035 999833 1001887 1056815 789995 908461 1018817 899292 865645 
002367	PK338	0493725	42	1019827 892236 1034578 999712 906085 849713 991672 859066 958897 894845 1025644 993169 1041559 1001394 1019025 999896 954641 903191 1076783 907217 1058058 909560 829096 1080398 1000122 
007887	PK338	0217682	43	987276 998784 886763 
004866	PK338	0031582	44	826099 901481 831800 
007395	PK338	1167859	45	829872 781139 791975 824872 831800 825102 754424 828467 771075 824983 779966 802256 904706 
007393	PK338	0987494	46	825646 829872 825102 896224 779966 772735 
004274	PK338	0017611	47	1020727 852608 1077815 1067726 987600 1066308 1006799 883488 991213 901539 1084185 1039868 915740 1025035 1077963 779081 871255 1056096 887478 746907 1065654 1021751 904918 917732 920248 
005282	PK338	0493856	48	896217 823997 1005633 826670 
005286	PK338	1020104	49	910884 789995 963528 672478 770814 
001151	PK338	0309967	50	1078680 992801 1172030 1081939 1080149 768585 1066309 908998 1037541 1067460 1079993 987937 1006744 966077 1010750 858114 1041140 1065796 1058421 887308 824299 911706 954831 1007842 1025460 1079614 1057520 992616 1064790 1078413 1086916 954830 1082150 952211 959919 991763 965861 948095 911366 906035 1002364 1024213 912439 909216 1025569 889858 806882 967532 958186 1009729 1000750 912699 1039679 1007554 966268 772504 1042335 918064 903917 1020478 1083626 1064780 1009559 914260 
007398	PK338	0851717	51	741435 828394 780450 785955 742886 857016 828467 824983 802256 
004379	PK338	0138190	52	871309 
005206	PK338	1051497	53	802766 865618 672478 918064 
004835	PK338	0032827	54	903449 1003476 771732 953178 945809 888075 807750 910403 854345 966303 970262 909240 993506 
004278	PK338	0017611	55	825478 909091 909662 901539 993566 
001442	PK338	1167855	56	787159 1007196 993532 858527 1005149 
008492	PK338	0031462	57	772305 828065 903222 807993 860532 836904 907248 782929 867165 
006865	PK338	1167883	58	829837 834138 772005 952594 824299 886011 860659 948095 909585 830862 822717 843307 
004374	TH110	0847593	1	848994 755872 
006863	TH110	0826957	2	834138 832455 852358 809192 860659 889858 830862 822717 799414 787582 
006860	TH110	1167884	3	1008387 989432 886011 904506 1005059 991769 957333 958186 754161 
007881	TH110	0217682	4	1004997 911218 1076085 860257 
001194	TH110	0706398	5	911941 819118 992616 810196 920261 871255 915652 914260 915226 
004011	TH110	1084297	6	1082919 988245 1017412 989395 1077417 1078648 852456 853174 1058421 1079614 1023923 1067933 964596 746210 1055441 1030683 1066778 1001806 1056012 1066924 833511 1021017 896224 1029787 1005720 999195 909216 1029210 1076531 1088180 1076299 909240 1170860 911807 779276 1005412 709554 
004013	TH110	0031578	7	781976 967411 1008925 986094 1037338 903449 917334 1067726 915885 1017832 1003020 993532 773014 1002767 947693 982172 1025508 1029566 853988 1017840 1010643 920237 867125 904301 856959 1037745 1025533 1076923 1019006 
008485	TH110	0031553	8	871788 745699 
007375	TH110	0031631	9	787159 887586 848680 828394 900371 858114 813147 870197 906635 849245 742886 556027 903338 896476 901409 900541 912695 1086329 772032 826670 906362 915226 
007374	TH110	0987494	10	967793 848680 865346 828394 900371 852608 710449 989395 1015706 958897 774062 861180 870197 906635 849245 1002047 822518 968216 903338 896476 901409 900541 988100 807767 986367 912695 1086329 911807 892206 
004017	TH110	0031578	11	1000939 833188 858114 803706 1001905 907914 965927 913466 899481 746084 1065183 
002856	TH110	0675005	12	900240 948568 920251 913946 1001613 914290 959304 906085 1004206 903449 988271 991672 945034 907596 1016996 993169 988657 1083812 914299 964596 973811 986807 913880 991769 1002045 970193 986688 980693 954830 968216 980544 1002706 1005548 971073 987613 971315 987276 958492 989520 856128 917883 779081 867125 976318 1002364 966094 919158 998784 1002606 958984 999195 1001887 915622 918519 993517 913989 907217 871681 912699 911802 915648 
004879	TH110	1051497	13	828065 
