Students	300
1	28 20 7 21
2	30 10 25 24
3	1 4 24 28
4	20 26 24 22
5	6 9 20 12
6	22 30 21 20
7	21 12 11 22
8	21 30 24 8
9	6 2 27 3
10	5 11 14 22
11	4 25 14 27
12	11 8 2 13
13	29 22 27 26
14	28 12 25 1
15	17 24 8 5
16	24 9 20 15
17	7 27 18 29
18	19 23 20 10
19	25 2 20 19
20	4 8 3 14
21	16 25 29 24
22	24 18 25 26
23	20 13 8 24
24	2 3 4 23
25	19 13 14 25
26	1 25 20 2
27	23 27 2 1
28	19 28 4 15
29	26 14 16 2
30	8 16 24 4
31	20 18 26 10
32	15 17 25 14
33	10 11 16 17
34	29 25 19 11
35	30 14 3 9
36	20 8 23 30
37	26 20 1 25
38	27 5 12 19
39	20 30 3 6
40	8 24 9 26
41	13 30 14 15
42	27 19 8 29
43	21 24 7 25
44	3 18 25 10
45	15 22 11 8
46	30 1 22 25
47	10 20 1 27
48	11 14 25 6
49	5 30 12 25
50	24 29 3 17
51	12 25 2 13
52	28 18 9 29
53	28 25 11 1
54	26 10 2 6
55	21 3 16 28
56	2 29 14 27
57	3 14 1 10
58	17 27 2 19
59	8 4 18 6
60	23 17 29 15
61	2 8 11 7
62	16 1 28 19
63	7 23 3 29
64	24 7 25 19
65	14 22 21 4
66	13 19 18 7
67	21 29 17 22
68	29 19 14 15
69	24 14 30 13
70	12 23 2 9
71	3 6 2 18
72	12 17 26 5
73	30 7 4 6
74	14 13 30 27
75	5 11 4 23
76	20 19 22 24
77	20 28 14 7
78	22 30 9 26
79	9 30 11 1
80	25 6 1 7
81	21 10 28 27
82	13 6 22 19
83	17 19 10 4
84	22 16 21 18
85	3 29 14 10
86	29 5 24 10
87	19 2 6 26
88	30 23 19 3
89	15 19 10 16
90	29 19 24 30
91	25 13 18 5
92	13 8 28 20
93	3 22 8 28
94	1 23 29 8
95	14 20 21 17
96	5 16 9 27
97	24 26 19 2
98	7 4 20 17
99	5 13 14 18
100	1 27 29 14
101	25 15 9 16
102	8 15 3 2
103	1 5 15 2
104	28 16 1 24
105	3 16 5 26
106	21 17 14 3
107	13 7 10 11
108	28 3 1 8
109	19 10 17 11
110	11 28 15 10
111	30 24 9 3
112	14 15 9 30
113	19 2 4 21
114	16 27 4 5
115	18 5 7 11
116	26 19 2 24
117	18 24 15 23
118	17 24 27 4
119	5 8 29 18
120	14 22 7 29
121	23 30 13 15
122	14 22 23 27
123	20 16 18 25
124	3 23 12 15
125	4 20 8 16
126	22 6 10 24
127	30 21 10 9
128	5 22 14 29
129	15 4 29 10
130	6 7 19 3
131	25 1 23 22
132	6 22 11 28
133	18 30 10 9
134	23 25 5 30
135	25 28 2 1
136	10 21 29 8
137	19 9 6 13
138	29 20 27 14
139	22 9 8 29
140	19 11 17 18
141	28 15 19 11
142	5 16 19 25
143	22 15 19 24
144	19 16 26 24
145	28 22 4 25
146	18 14 28 5
147	19 29 23 15
148	27 19 29 28
149	29 2 26 13
150	9 8 22 27
151	22 12 27 2
152	23 16 7 30
153	25 30 5 10
154	2 6 4 29
155	19 16 15 9
156	17 30 10 23
157	30 25 12 3
158	7 13 24 15
159	1 29 7 11
160	24 5 17 30
161	5 23 12 27
162	6 27 28 24
163	18 14 24 8
164	13 1 10 9
165	11 26 7 22
166	2 19 17 3
167	13 27 10 3
168	15 19 2 28
169	24 17 27 8
170	26 8 28 30
171	30 21 5 13
172	1 24 9 19
173	26 29 22 20
174	29 23 19 1
175	5 12 17 21
176	1 28 18 22
177	12 22 3 5
178	15 3 24 10
179	25 5 19 8
180	5 25 23 28
181	1 3 12 13
182	11 20 25 8
183	10 5 23 19
184	3 13 23 11
185	8 26 7 14
186	17 2 10 11
187	13 6 28 1
188	11 18 20 4
189	1 28 30 8
190	22 4 9 11
191	29 3 21 19
192	11 18 2 5
193	22 19 29 10
194	17 6 16 23
195	2 10 24 25
196	5 20 21 19
197	20 9 5 6
198	19 13 20 5
199	8 7 27 20
200	14 4 9 5
201	28 29 3 22
202	18 28 19 20
203	27 15 4 29
204	26 23 3 4
205	9 28 10 20
206	12 21 17 10
207	28 24 22 5
208	15 7 29 28
209	11 2 14 15
210	1 26 19 8
211	17 11 13 8
212	30 22 21 8
213	29 1 3 23
214	26 16 27 22
215	30 15 6 11
216	20 7 12 17
217	8 5 17 21
218	26 1 12 28
219	2 18 17 29
220	20 13 12 26
221	4 11 26 19
222	22 29 15 18
223	6 4 7 18
224	2 28 25 8
225	4 12 9 5
226	11 2 7 30
227	7 18 5 13
228	7 27 20 9
229	13 6 25 21
230	6 20 15 11
231	25 27 1 14
232	11 19 9 21
233	21 16 24 29
234	17 22 24 13
235	24 22 17 26
236	22 25 4 23
237	29 25 21 17
238	30 17 7 3
239	1 20 9 2
240	15 25 24 17
241	8 9 27 20
242	28 9 5 16
243	13 22 17 3
244	29 7 20 10
245	22 16 8 25
246	27 10 21 25
247	3 6 18 1
248	12 30 26 24
249	22 5 10 30
250	11 23 6 18
251	11 7 19 18
252	19 10 25 8
253	26 25 8 12
254	26 19 30 25
255	6 14 24 1
256	1 15 27 3
257	9 28 23 25
258	8 28 23 16
259	10 2 22 18
260	30 4 18 17
261	25 10 22 7
262	26 6 8 1
263	20 12 4 13
264	12 21 20 9
265	18 30 17 21
266	12 26 20 25
267	26 15 16 3
268	13 2 22 3
269	9 21 17 4
270	3 30 6 21
271	12 27 10 14
272	18 29 28 25
273	9 5 13 15
274	24 3 30 9
275	8 27 15 30
276	4 8 7 22
277	10 16 11 23
278	29 3 6 1
279	13 21 5 1
280	29 13 7 14
281	4 13 26 2
282	19 28 25 5
283	18 4 8 27
284	25 2 16 27
285	15 13 3 22
286	5 22 24 18
287	3 1 22 5
288	22 26 1 7
289	7 29 17 24
290	9 19 8 20
291	15 24 14 20
292	21 11 1 6
293	24 19 23 30
294	27 23 8 6
295	26 19 7 29
296	20 24 2 10
297	1 9 20 2
298	19 1 22 20
299	20 19 28 15
300	29 13 25 16
