Students	1319
1	31 69 32 29
2	44 33 28 9
3	63 28 56 25
4	9 64 11 69
5	17 58 3 40
6	31 56 63 74
7	29 33 67 52
8	64 61 73 49
9	50 8 55 37
10	53 70 18 17
11	28 45 62 23
12	18 13 38 36
13	61 7 22 11
14	44 8 53 63
15	9 1 62 29
16	41 43 12 9
17	16 51 50 30
18	17 9 26 62
19	24 63 15 16
20	21 24 46 4
21	43 12 56 40
22	6 61 26 63
23	21 5 2 4
24	21 3 27 32
25	13 56 26 41
26	15 37 12 34
27	10 11 66 35
28	55 25 69 18
29	40 59 55 32
30	33 52 48 36
31	33 50 26 64
32	57 7 34 20
33	41 13 29 47
34	13 40 16 24
35	50 23 17 14
36	46 58 5 31
37	22 66 13 45
38	3 19 48 37
39	10 4 15 51
40	52 71 45 12
41	47 68 9 36
42	54 42 52 59
43	32 18 19 17
44	49 18 14 70
45	60 74 28 2
46	15 38 53 37
47	7 67 52 72
48	28 12 32 18
49	68 70 22 6
50	7 68 42 74
51	23 74 10 50
52	52 26 74 67
53	59 53 17 38
54	51 59 18 73
55	17 4 68 18
56	32 29 64 58
57	57 20 25 63
58	57 22 2 36
59	11 12 67 35
60	10 6 32 62
61	11 53 44 45
62	74 61 65 46
63	14 21 56 29
64	74 54 51 13
65	11 31 60 14
66	20 69 44 74
67	60 28 50 25
68	6 5 66 31
69	19 14 9 1
70	38 19 5 2
71	59 52 61 28
72	71 65 8 24
73	11 7 41 30
74	71 4 42 73
75	43 33 30 74
76	15 69 13 60
77	74 2 12 29
78	1 27 21 9
79	4 24 3 70
80	37 62 28 41
81	57 11 61 14
82	35 50 40 37
83	20 50 68 53
84	52 47 45 60
85	42 36 12 28
86	71 41 18 60
87	59 41 44 60
88	41 2 32 21
89	45 7 4 3
90	54 51 73 20
91	24 16 42 12
92	48 22 53 58
93	1 20 53 56
94	49 12 23 67
95	65 74 59 33
96	35 68 25 60
97	4 69 70 73
98	46 2 59 7
99	68 8 73 18
100	49 64 38 30
101	64 74 35 37
102	5 4 36 51
103	65 3 7 73
104	6 35 10 62
105	61 44 34 22
106	68 6 37 49
107	59 48 56 17
108	40 58 23 21
109	58 65 66 64
110	25 58 24 31
111	61 65 21 13
112	8 33 17 31
113	49 71 18 47
114	28 16 9 63
115	46 50 64 21
116	49 54 3 4
117	72 30 42 52
118	72 14 67 45
119	50 62 45 23
120	30 25 27 33
121	66 52 25 57
122	58 45 7 64
123	5 24 51 12
