Class Times	23
Rooms	80
1	469
2	994
3	48
4	933
5	941
6	588
7	134
8	112
9	892
10	719
11	971
12	956
13	892
14	883
15	416
16	909
17	761
18	49
19	866
20	991
21	437
22	272
23	362
24	367
25	206
26	442
27	968
28	338
29	619
30	244
31	79
32	371
33	550
34	562
35	121
36	730
37	67
38	697
39	104
40	222
41	852
42	83
43	256
44	333
45	640
46	493
47	282
48	973
49	479
50	631
51	692
52	772
53	357
54	780
55	751
56	598
57	881
58	858
59	845
60	409
61	583
62	917
63	514
64	825
65	727
66	204
67	876
68	267
69	70
70	836
71	863
72	768
73	766
74	173
75	29
76	705
77	936
78	975
79	111
80	928
Classes	32
Teachers	16
1	16
2	3
3	5
4	7
5	2
6	10
7	15
8	7
9	14
10	12
11	15
12	13
13	6
14	5
15	12
16	16
17	1
18	11
19	1
20	8
21	3
22	11
23	2
24	13
25	6
26	8
27	14
28	9
29	9
30	10
31	4
32	4
