Students	580
1	46 41 62 24
2	75 16 61 60
3	52 38 73 75
4	19 55 78 1
5	24 27 19 25
6	75 54 28 4
7	80 38 40 58
8	64 76 18 63
9	46 65 28 36
10	55 54 57 44
11	28 19 65 3
12	9 14 63 48
13	62 64 17 59
14	64 73 19 18
15	45 78 40 67
16	17 18 76 81
17	67 1 26 63
18	79 74 43 27
19	57 58 22 50
20	76 14 50 64
21	60 15 42 66
22	80 1 67 60
23	12 7 51 38
24	30 18 1 32
25	14 79 29 52
26	64 31 16 52
27	76 16 14 45
28	9 13 6 49
29	46 21 53 27
30	56 47 54 73
31	20 3 81 52
32	43 64 17 56
33	63 44 49 13
34	12 61 27 26
35	6 34 1 10
36	19 31 68 17
37	44 12 23 27
38	60 24 77 19
39	47 18 59 75
40	56 30 28 14
41	69 38 17 34
42	54 61 63 21
43	29 80 4 39
44	23 61 15 48
45	7 70 14 23
46	62 41 63 6
47	60 27 49 51
48	78 25 52 40
49	66 32 63 16
50	46 4 8 29
51	63 16 35 27
52	46 32 29 8
53	11 5 45 43
54	76 59 57 67
55	41 17 11 20
56	61 77 1 79
57	11 48 44 2
58	53 64 2 17
59	3 68 62 5
60	67 62 4 14
61	25 80 52 36
62	1 41 13 19
63	27 54 42 40
64	74 70 2 49
65	66 73 39 81
66	15 9 63 56
67	40 63 17 8
68	2 8 23 67
69	75 62 59 76
70	54 47 63 61
71	64 75 4 48
72	10 70 37 65
73	23 46 27 18
74	38 4 45 79
75	32 25 54 37
76	19 35 28 82
77	79 75 62 49
78	47 63 9 74
79	77 34 56 55
80	32 26 16 81
81	29 5 42 78
82	6 49 23 11
83	63 27 51 1
84	29 73 39 26
85	33 43 74 13
86	79 5 39 36
87	29 59 13 23
88	72 5 76 64
89	50 49 70 78
90	65 35 21 14
91	12 58 28 35
92	56 1 78 79
93	53 10 76 21
94	10 20 21 25
95	5 62 22 71
96	66 41 24 8
97	53 16 64 27
98	18 50 11 45
99	37 52 12 43
100	6 16 35 23
101	22 3 61 7
102	52 23 24 21
103	35 49 54 50
104	55 65 37 14
105	33 52 18 72
106	64 65 35 56
107	21 70 61 46
108	32 51 48 18
109	79 60 37 77
110	4 57 12 62
111	71 15 24 75
112	68 35 60 43
113	36 22 34 5
114	82 18 79 78
115	30 78 67 42
116	9 46 27 33
117	3 79 57 55
118	76 81 69 25
119	35 24 20 63
120	67 38 55 68
121	58 16 57 48
122	35 73 51 55
123	38 30 59 5
124	13 39 7 80
125	52 8 22 20
126	58 10 69 19
127	67 62 15 7
128	47 32 81 75
129	62 52 71 61
130	55 70 54 4
131	11 26 27 58
132	19 4 49 26
133	9 57 41 82
134	51 4 30 23
135	33 9 53 45
136	74 35 1 34
137	67 63 24 47
138	2 72 20 6
139	30 20 41 19
140	80 17 34 18
141	66 39 77 81
142	26 79 45 52
143	75 54 39 11
144	56 73 37 68
145	51 57 8 60
146	70 38 13 9
147	34 14 46 71
148	66 77 8 31
149	69 13 60 32
150	66 62 14 17
151	31 69 6 16
152	29 37 67 80
153	71 81 66 45
154	67 41 60 16
155	52 8 19 70
156	47 53 80 40
157	26 21 70 41
158	67 45 75 6
159	39 55 75 47
160	75 36 49 70
161	13 58 17 28
162	19 25 75 33
163	20 55 80 59
164	14 40 20 76
165	22 10 25 37
166	63 24 22 29
167	51 49 70 62
168	3 8 7 22
169	40 43 56 13
170	75 67 30 33
171	52 64 15 56
172	42 32 65 78
173	4 36 40 77
174	37 47 21 65
175	13 55 78 12
176	79 61 2 31
177	25 34 36 66
178	38 39 65 72
179	25 51 35 66
180	29 77 70 75
181	36 14 66 4
182	59 20 48 53
183	46 74 67 68
184	58 35 30 31
185	7 35 74 55
186	7 43 76 18
187	36 14 23 17
188	57 70 19 67
189	75 79 63 29
190	12 78 3 49
191	18 8 38 32
192	38 63 42 50
193	13 81 30 10
194	51 60 12 80
195	47 60 18 7
196	3 63 38 74
197	8 63 48 10
198	47 13 24 3
199	59 48 35 36
200	19 80 24 55
201	6 41 35 57
202	43 10 51 77
203	41 22 54 6
204	24 60 48 46
205	51 56 14 71
206	13 70 14 35
207	42 32 63 81
208	14 48 57 6
209	15 66 62 36
210	27 29 57 11
211	61 44 62 24
212	17 28 54 12
213	82 44 2 32
214	78 15 13 66
215	25 5 60 3
216	2 39 35 67
217	70 50 25 20
218	54 11 79 50
219	60 74 29 6
220	33 37 16 43
221	70 20 75 52
222	13 18 59 82
223	68 43 78 13
224	40 46 6 73
225	26 79 6 70
226	7 15 33 67
227	62 41 77 14
228	27 34 6 41
229	67 13 55 71
230	55 10 12 53
231	68 55 14 65
232	15 21 11 60
233	13 69 64 66
234	67 46 18 81
235	11 79 36 42
236	63 36 73 5
237	4 42 25 22
238	53 18 47 19
239	10 82 56 43
240	9 68 79 25
241	44 55 46 48
242	1 41 81 20
243	5 22 40 79
244	79 82 2 72
245	31 48 44 67
246	16 73 30 4
247	43 42 40 50
248	35 28 29 59
249	20 54 13 63
250	25 79 3 47
251	61 54 60 78
252	8 55 39 57
253	10 77 71 67
254	24 11 53 60
255	7 12 17 18
256	65 75 37 28
257	61 31 76 7
258	52 73 16 26
259	41 18 57 75
260	72 45 9 78
261	78 53 69 77
262	3 82 17 54
263	11 19 41 12
264	46 38 30 14
265	74 77 30 56
266	79 15 55 12
267	39 66 74 20
268	40 36 73 6
269	7 59 47 72
270	33 22 32 66
271	55 4 3 56
272	49 1 78 16
273	71 80 39 14
274	82 63 31 26
275	8 13 4 17
276	35 19 7 59
277	38 9 22 64
278	76 31 10 9
279	43 37 56 12
280	22 68 50 58
281	72 14 16 43
282	7 58 82 73
283	79 47 14 62
284	72 14 76 67
285	78 37 9 19
286	70 53 78 65
287	80 6 72 77
288	13 16 9 66
289	62 59 12 1
290	39 50 55 80
291	11 59 70 34
292	72 37 2 52
293	50 61 8 74
294	76 80 28 20
295	75 24 41 38
296	43 57 18 15
297	57 46 32 49
298	48 23 38 17
299	15 38 76 63
300	59 17 67 4
301	72 64 39 25
302	78 28 63 6
303	36 48 72 70
304	44 68 17 19
305	48 18 6 47
306	73 33 21 64
307	5 36 27 67
308	70 3 19 15
309	6 27 48 74
310	68 13 32 71
311	61 49 44 5
312	43 1 76 73
313	8 53 27 52
314	41 62 59 70
315	38 24 81 29
316	49 55 57 74
317	6 38 82 62
318	4 16 41 19
319	44 48 23 67
320	75 66 25 81
321	23 74 20 45
322	9 71 82 22
323	5 11 80 31
324	39 44 30 16
325	30 57 72 76
326	47 73 52 10
327	11 76 38 40
328	1 69 27 21
329	72 46 62 3
330	76 21 53 19
331	29 77 27 65
332	42 16 17 18
333	4 38 20 30
334	57 8 79 2
335	77 61 21 53
336	53 40 41 67
337	65 44 25 30
338	24 53 80 19
339	75 72 54 20
340	4 5 70 48
341	42 22 66 25
342	1 62 61 2
343	50 64 28 75
344	2 3 17 13
345	66 30 11 7
346	17 29 13 76
347	65 33 43 31
348	61 6 56 50
349	21 43 40 5
350	18 4 64 69
351	7 34 24 45
352	27 11 43 71
353	48 8 82 30
354	55 70 34 46
355	35 54 7 66
356	77 27 32 3
357	45 56 39 65
358	39 62 44 34
359	2 58 25 39
360	22 75 54 56
361	8 15 31 23
362	32 79 62 49
363	48 24 61 20
364	29 67 55 37
365	18 10 24 49
366	70 72 76 50
367	68 28 54 66
368	53 8 58 14
369	26 12 69 21
370	7 23 22 2
371	57 37 79 31
372	68 72 19 21
373	65 54 11 18
374	37 76 34 35
375	2 61 57 34
376	77 47 51 23
377	23 71 30 25
378	69 57 44 76
379	57 79 15 37
380	60 72 53 50
381	67 38 43 30
382	54 66 15 57
383	33 45 38 78
384	56 7 61 23
385	2 74 79 56
386	50 57 82 48
387	4 51 39 3
388	61 82 65 35
389	18 55 73 3
390	51 49 48 44
391	80 55 23 22
392	15 82 71 16
393	52 59 56 69
394	9 32 49 35
395	47 43 77 19
396	58 73 28 72
397	9 80 33 75
398	39 46 62 77
399	4 68 26 10
400	37 79 66 3
401	41 34 58 44
402	78 57 33 45
403	45 67 65 82
404	69 12 52 74
405	23 62 18 17
406	5 72 62 20
407	39 54 6 45
408	11 69 34 59
409	45 54 48 70
410	56 69 12 74
411	48 30 15 81
412	66 19 22 64
413	52 13 37 54
414	38 62 45 5
415	67 47 50 23
416	72 30 3 25
417	81 76 41 34
418	47 68 56 69
419	49 15 74 54
420	72 58 13 22
421	4 52 47 26
422	40 4 7 2
423	4 50 77 27
424	7 55 10 47
425	66 45 38 47
426	53 44 74 3
427	82 52 75 70
428	47 2 38 6
429	60 3 26 27
430	44 24 2 61
431	78 2 3 21
432	45 28 2 18
433	82 36 81 58
434	32 5 36 29
435	60 78 40 50
436	37 17 41 1
437	22 17 6 24
438	41 59 7 64
439	49 3 33 62
440	78 70 48 44
441	20 30 31 25
442	82 42 35 21
443	60 23 69 8
444	50 33 17 16
445	11 71 70 17
446	40 67 45 20
447	54 34 73 77
448	82 67 60 29
449	28 8 41 44
450	69 22 54 41
451	4 32 37 56
452	41 31 5 21
453	19 64 60 12
454	54 13 20 51
455	77 32 68 5
456	22 76 11 68
457	7 10 61 50
458	65 49 56 34
459	42 8 51 52
460	31 3 82 57
461	42 39 53 66
462	6 30 15 49
463	8 45 67 2
464	59 57 24 3
