Course	Room	Teacher	Time	Students
1	11	43	1	32 43 53 153 154 171 179 191 226 235 305 322 340 354 355 368 370 392 398 412 418 490 510 562 579 582 625 649 656 659 700 709 764 864 870 893 896 900 911 928 944 958 968 1019 1021 1024 1044 1053 1061 
2	11	40	2	2 22 36 63 107 109 124 129 162 180 203 212 227 254 294 298 319 332 333 399 401 441 457 471 524 539 540 570 583 623 647 655 669 674 689 699 706 714 729 759 805 816 895 912 916 930 962 974 993 1043 1055 
3	11	13	3	48 50 57 63 84 117 147 160 194 207 228 277 292 293 321 393 398 422 433 434 512 520 525 627 633 639 673 690 771 781 856 948 989 1036 1068 
4	11	16	4	22 75 86 114 188 267 337 342 349 391 402 416 454 459 460 474 488 517 551 552 561 571 586 597 607 632 668 712 716 745 757 777 784 790 796 801 803 869 889 914 923 973 983 994 1002 1007 1012 1019 1021 1051 
5	11	42	5	51 53 105 136 144 146 173 203 266 269 291 300 307 338 367 382 390 396 425 430 460 467 474 478 495 555 576 607 707 749 790 822 853 900 947 951 998 1004 1005 1022 1031 
6	11	31	6	91 110 160 165 166 181 186 190 237 249 310 338 365 378 390 405 410 411 417 435 463 498 500 563 589 590 600 601 664 693 717 737 787 793 798 806 812 825 834 894 915 939 953 956 1037 1048 1052 1063 
7	11	26	7	9 54 74 94 108 122 151 152 174 180 182 213 215 250 311 329 378 397 409 478 492 502 504 562 565 643 651 669 695 793 797 840 902 927 931 937 940 987 988 990 995 997 998 1032 1041 
8	11	1	8	10 61 120 150 151 173 205 230 259 303 304 333 347 349 385 445 472 479 501 567 580 637 678 690 691 702 734 814 843 852 903 905 962 963 1024 1027 1029 1041 
9	11	45	9	10 13 19 27 52 68 175 185 273 421 422 477 480 546 575 577 583 614 616 622 630 634 681 707 727 734 761 783 795 839 852 873 898 950 955 967 980 1035 1041 1070 
10	11	31	10	50 65 99 107 154 159 179 181 205 248 271 315 328 335 344 348 435 446 474 485 492 501 545 571 618 634 663 671 677 715 781 789 813 815 839 864 876 882 897 923 936 939 952 1005 1008 1012 1047 
11	11	1	11	30 56 79 127 208 220 231 242 245 264 319 336 360 363 466 467 506 523 573 592 635 653 664 667 685 699 788 816 843 1069 
12	11	13	12	28 62 168 206 269 270 275 292 300 320 322 375 420 429 437 458 461 465 485 569 597 604 617 621 623 646 650 659 703 726 734 774 779 796 809 814 819 878 944 946 989 991 1013 1018 
13	11	32	13	1 15 70 77 78 88 90 97 99 111 138 155 182 185 223 259 266 301 304 310 363 406 408 427 480 512 515 553 585 587 598 602 608 610 627 707 717 727 764 838 850 889 890 906 907 918 934 990 1040 1053 1065 
14	11	17	14	5 37 49 51 99 129 134 145 158 161 165 182 183 220 236 239 256 267 269 270 346 486 493 508 539 546 560 594 597 614 625 626 651 676 754 809 833 845 861 871 872 916 924 937 972 975 988 993 1005 1007 1022 1023 1071 
15	11	19	15	6 17 21 61 95 172 185 221 247 249 250 253 255 289 304 327 343 351 352 373 407 425 456 491 564 578 585 616 637 676 683 708 746 753 759 770 780 781 802 811 827 850 873 927 976 1016 1023 1061 
16	11	22	16	2 67 104 123 154 166 183 193 204 228 233 278 305 307 321 333 361 382 390 393 441 452 482 509 528 531 570 626 646 654 711 761 826 835 841 868 875 896 973 1033 1044 
17	11	45	17	30 64 79 82 116 174 188 196 219 279 340 369 425 462 483 536 538 554 574 581 602 675 742 772 805 832 852 892 898 937 945 979 1009 1045 1062 1063 1070 
