Students	617
1	2 31 16 44
2	37 4 29 44
3	31 12 32 17
4	35 16 13 19
5	8 21 35 18
6	28 26 19 36
7	35 44 9 26
8	3 26 32 5
9	40 2 22 14
10	36 35 12 14
11	20 7 25 4
12	28 6 41 32
13	14 32 36 25
14	5 36 35 44
15	33 42 29 10
16	24 30 37 27
17	44 3 43 14
18	31 44 34 15
19	28 12 4 41
20	31 8 1 18
21	7 13 18 19
22	30 6 41 33
23	1 2 14 15
24	6 20 38 31
25	39 19 28 4
26	35 16 6 12
27	32 35 3 23
28	10 21 12 28
29	9 31 35 36
30	19 29 16 28
31	37 11 22 15
32	35 44 30 14
33	35 2 42 31
34	29 5 31 8
35	11 39 40 9
36	3 37 23 6
37	17 37 43 6
38	36 44 32 15
39	1 7 28 42
40	26 8 1 36
41	11 12 25 34
42	44 42 24 26
43	22 25 9 35
44	3 33 36 24
45	32 11 27 24
46	10 12 25 14
47	26 1 5 10
48	35 18 27 42
49	35 29 31 23
50	18 30 27 15
51	4 1 37 31
52	14 19 35 40
53	7 33 28 41
54	9 19 31 5
55	13 19 4 3
56	18 33 4 21
57	4 17 37 15
58	10 37 8 28
59	29 8 23 27
60	41 16 1 29
61	33 4 44 26
62	9 11 32 29
63	40 23 43 8
64	6 23 11 41
65	35 4 31 10
66	11 8 33 29
67	18 25 26 36
68	42 9 26 27
69	1 31 8 40
70	10 6 3 9
71	19 24 37 15
72	44 37 14 8
73	11 20 14 26
74	36 31 12 42
75	32 37 40 44
76	44 34 6 4
77	11 27 15 21
78	32 8 42 16
79	37 26 13 16
80	20 30 27 33
81	38 23 16 24
82	20 37 17 43
83	34 20 23 30
84	40 32 17 33
85	6 39 21 19
86	23 29 14 39
87	42 4 34 31
88	36 34 3 21
89	39 21 29 11
90	20 8 11 31
91	20 7 29 37
92	26 16 42 34
93	15 40 35 24
94	35 30 32 14
95	13 40 34 32
96	5 33 31 41
97	41 40 42 18
98	32 40 17 26
99	41 12 44 28
100	26 14 1 37
101	21 37 26 11
102	15 34 42 11
103	18 25 16 21
104	18 4 24 11
105	18 32 9 20
106	17 37 20 15
107	22 38 19 41
108	28 22 10 21
109	17 31 43 11
110	6 15 36 26
111	23 40 38 24
112	44 38 42 11
113	5 39 22 36
114	41 3 22 27
115	4 22 36 17
116	15 24 17 22
117	29 17 18 24
118	29 37 15 34
119	26 11 19 41
120	37 44 6 1
121	43 38 39 22
122	30 23 25 14
123	37 6 33 17
124	29 16 44 15
125	16 42 20 35
126	23 15 11 19
127	34 16 35 17
128	31 25 12 4
129	13 26 4 24
130	9 27 28 12
131	26 21 20 24
132	24 25 32 12
133	31 6 8 34
134	18 21 19 36
135	25 42 30 7
136	41 10 32 33
137	27 32 5 1
138	14 19 30 10
139	5 40 1 33
140	15 10 20 8
141	42 25 27 7
142	40 34 8 7
143	14 39 29 17
144	15 16 11 36
145	10 30 39 3
146	40 27 34 41
147	5 15 44 29
148	6 13 24 17
149	35 31 24 13
150	10 5 43 7
151	20 29 28 16
152	7 19 26 32
153	26 8 32 16
154	6 28 12 23
155	34 6 18 21
156	8 39 23 34
157	41 25 43 3
158	44 18 27 11
159	43 10 40 22
160	10 43 33 20
161	28 27 20 34
162	7 1 3 8
163	39 16 33 31
164	9 39 10 35
165	15 39 27 2
166	10 43 22 15
167	16 33 40 22
168	5 37 33 8
169	44 22 30 35
170	23 38 10 42
171	26 35 34 16
172	30 33 36 25
173	39 5 33 37
174	32 40 25 30
175	19 37 11 14
176	41 37 22 9
177	40 6 2 36
178	16 43 20 10
179	20 38 29 23
180	18 1 12 28
181	40 34 26 25
182	35 8 11 39
183	4 17 6 15
184	40 29 9 4
185	33 30 29 28
186	20 8 30 26
187	31 40 16 13
188	33 43 20 2
189	34 6 41 15
190	31 44 11 40
191	6 20 7 33
192	24 26 41 38
193	23 42 5 6
194	25 16 43 39
195	2 13 32 36
196	33 36 37 41
197	32 31 12 1
198	32 28 17 7
199	23 20 16 26
200	4 15 34 6
201	7 13 41 36
202	43 17 10 32
203	7 42 38 19
204	40 39 42 35
205	22 37 27 23
206	23 5 44 21
207	37 6 40 32
208	30 36 43 27
209	10 40 4 23
210	13 16 9 34
211	37 38 12 25
212	35 10 25 40
213	16 4 2 11
214	43 11 33 41
215	5 9 39 20
216	20 9 34 30
217	19 27 29 20
218	22 17 39 11
219	1 34 26 42
220	18 24 33 44
221	10 12 2 44
222	24 7 14 12
223	44 13 24 29
224	14 12 33 23
225	41 38 36 18
226	30 42 28 12
227	22 12 28 16
228	13 26 19 20
229	20 25 7 43
230	8 11 39 24
231	33 43 34 23
232	24 27 18 2
233	42 28 25 16
234	8 33 16 25
235	39 43 15 8
236	37 1 21 41
237	43 12 10 22
238	17 10 27 42
239	26 14 37 36
240	26 5 36 38
241	43 11 29 2
242	7 19 24 5
243	35 39 3 38
244	42 21 16 36
245	39 6 25 17
246	37 3 6 26
247	25 14 44 40
248	18 26 42 2
249	7 13 6 32
250	30 25 40 5
251	32 14 24 36
252	7 4 31 5
253	38 9 13 14
254	23 30 37 17
255	9 13 4 17
256	2 12 29 14
257	32 27 24 22
258	20 26 8 14
259	25 3 28 43
260	24 25 28 10
261	30 26 16 31
262	4 20 32 43
263	6 14 4 12
264	44 3 14 7
265	20 39 17 23
266	35 28 11 32
267	18 36 7 26
268	40 15 18 10
269	33 1 37 18
270	8 23 21 43
271	1 40 30 29
272	26 36 31 35
273	37 44 21 1
274	17 25 21 7
275	20 4 43 36
276	18 29 7 8
277	34 35 9 8
278	37 12 6 9
279	17 5 38 3
280	4 40 5 15
281	16 44 36 29
282	20 14 21 38
283	1 8 13 25
284	21 44 43 8
285	20 34 6 3
286	40 37 28 38
287	8 21 24 44
288	24 28 13 3
289	38 32 42 5
290	22 42 38 24
291	34 19 3 11
292	14 34 3 18
293	32 5 31 4
294	34 28 32 20
295	16 28 13 9
296	10 3 2 7
297	6 33 18 29
298	28 30 24 43
299	8 38 32 42
300	43 6 23 25
301	9 17 41 21
302	13 42 18 22
303	27 10 8 31
304	33 30 22 10
305	7 26 30 3
306	25 11 4 39
307	18 34 7 17
308	43 41 15 7
309	43 42 32 22
310	6 43 12 7
311	10 4 5 20
312	35 14 36 21
313	41 37 5 18
314	18 17 15 22
315	21 10 24 18
316	42 44 35 14
317	26 5 1 14
318	41 7 25 22
319	26 12 28 1
320	18 19 29 16
321	7 24 43 37
322	37 2 1 38
323	25 34 33 24
324	40 43 37 23
325	36 41 30 8
326	9 37 18 42
327	6 26 7 43
328	14 18 23 6
329	3 25 23 1
330	28 7 25 32
331	25 14 17 26
332	35 37 26 8
333	39 23 42 16
334	1 7 12 35
335	38 33 23 41
336	1 3 42 27
337	20 26 37 30
338	25 8 31 33
339	39 8 21 17
340	42 39 6 18
341	10 40 41 11
342	37 8 26 30
343	35 44 31 41
344	41 31 17 42
345	38 2 9 7
346	31 39 12 29
347	18 7 11 35
348	35 23 9 32
349	38 2 7 25
350	39 24 37 2
351	2 3 7 43
352	4 14 19 1
353	36 35 32 24
