Course	Room	Teacher	Time	Students
013192	PK20	3459335	6	3521001 3712888 3715444 3789529 3790244 3817969 3818024 3819393 3861195 3930302 3930608 3693712 3995730 3691794 3833378 3821097 3699567 
001881	PK20	4362789	8	3611135 3652353 3821254 3694712 3819332 3930547 3796237 3910555 3913807 4086408 3666570 3910594 3910721 3677885 3774116 
006029	PK338	3839982	37	3613455 3869959 3931466 3991180 4001588 4017901 4092767 4092833 4093778 4095083 4000366 4093423 4095088 4003188 4093973 3987067 4095086 4044087 3902196 3975962 4002094 4000980 4092633 4175505 4073784 4086269 4093611 3799529 3931881 4091672 4093159 4093806 4094640 3930301 3995827 4001958 4093315 4095425 4175519 3997576 4081695 4086619 4095703 4140259 4150362 4151626 4155489 4170299 4174768 4233573 4262071 4276023 4277951 4278383 4278481 4278573 4279920 4280138 4280697 4280721 4280864 4280889 4280946 4280948 4282099 4280941 3858245 3915203 4087228 4091806 4092795 
001898	PK20	4354090	10	3652353 3715444 3789529 3790244 3818025 3820745 3821254 3821097 3818762 3722926 3785953 
004301	PK25	1165566	56	3675467 3768625 3816722 3821269 3910870 4000229 3913863 3823391 3930253 3930841 3579645 4086216 3902439 3684090 3910605 
004306	PK25	1165566	3	3675467 3820885 3821269 3816993 3910595 3579645 3583596 3684090 3910605 
002562	PK338	0564741	56	3620520 3687862 3901254 4089004 3712286 3817507 4175298 3818064 3887326 3914449 4091439 3994733 4002909 3876667 3932941 3932943 3937404 3942061 4038907 4091782 4092335 4125081 4149852 4153409 4170444 4174776 4174889 4180325 4193341 4254672 4275431 4276023 4276256 4277909 4278350 4279708 4280174 4280524 4281002 4281886 4175962 4093970 4175391 3816174 3969305 3975519 
006050	PK338	0554585	6	3692862 3903896 3930303 3610120 3796906 3821393 3667464 3816483 
001844	PK20	3926311	7	3695145 3715444 3789573 3821269 3931962 4086477 4086279 3691794 3914928 3801768 3904324 3914968 3930253 3818807 3902439 3910530 
002567	PK278	4177047	2	3710476 4091996 3904645 3910427 4087057 3994843 4002113 4175302 3881597 4093611 4175444 3790857 3910536 4175283 4086380 4086407 4086470 4175528 4175537 4175297 4175494 
001839	PK20	0898918	3	3710991 3790244 3821069 3846717 3860357 3863747 3914344 3930544 3930608 4086477 4091996 4095897 3808480 3819304 3913671 3913863 3995730 4086279 3691794 3845742 3818762 3910185 3910587 3911054 3774808 3699567 3816336 3914696 3821166 4086248 3901413 3858042 3918056 
001840	PK20	4362783	4	3710991 3821069 3863747 3915711 3921208 3930817 3931962 3957394 3989696 4093136 3913671 3970633 4095930 4095472 3801768 4002075 4086355 3995802 4093066 3821273 4002909 4075429 4096262 4125799 4174617 3901413 4086222 4093853 3692316 4175290 
002182	PK278	4090501	9	3710991 3716638 3817962 3821069 3861339 3721962 3816554 3821440 3821166 3821197 
004279	PK25	0802802	69	3759092 3902667 3768197 3929237 4086309 3844962 3790306 3914251 
007374	DAL119	0987494	56	3789529 3818676 3834985 3852791 4091443 4092801 4096261 3915155 3930891 4037708 3694712 3931202 3929704 3901790 4095472 4175433 3839352 4086318 4086394 3854016 4086427 4175465 3883637 3910680 3931449 4086398 4086408 4086445 3788919 3818480 3822148 3973119 4043326 4086316 4086378 4175500 4091895 3930469 3807883 3895612 3610287 3904620 3692316 3910515 3910474 3903986 
001892	PK20	0409956	11	3695145 3789573 3818024 3680751 3693712 3915088 3995730 3708949 3694712 3818807 3666570 
006023	PK338	0972342	1	3561430 3790244 3913138 4000229 4001999 4003642 4092675 4093612 4050929 4088956 3964713 3822201 3923376 4003130 4175333 3928941 4095190 4175292 3901936 3905861 3910702 4007305 4086445 4175354 4175448 4180466 3789439 3886275 4001431 4077315 4093026 4093255 4093324 4094796 4095876 3941346 3951018 4003389 4092335 4093409 4096706 4096899 4132527 4134616 4149852 4152941 4157786 4165473 4170444 4174380 4174617 4174776 4175859 4176789 4180325 4180953 4181031 4193260 4236548 4254672 4276333 4277616 4278034 4278351 4278394 4278491 4279649 4280365 4280525 4280526 4280622 
001851	PK20	0409956	2	3796247 3818025 3821069 3822778 3860357 3906818 3929235 3930817 4001588 3764208 3858715 3902911 3907037 3915088 3721962 3845742 3915040 3801768 3910671 3722926 3816108 4096913 3819433 
002166	PK278	4090501	3	3796247 3929812 3929815 4097018 3680751 3764208 3817487 3852207 3910651 3799474 3994876 3929586 3716140 3915029 3930678 3789283 3902440 3929954 
002572	PK278	3393847	8	3797331 4091996 4086430 3910427 3848104 3910519 3910737 4095234 3678357 3708638 3821554 3792350 
015830	DAL119	3646540	6	3816722 3929644 3680751 4000336 4086366 4096913 
013185	DAL119	0125630	4	3817087 3929644 3851735 4086245 3915243 3823755 
002173	PK278	3926209	12	3817962 3721962 3768197 3816554 3650239 3821440 3910730 3584685 
007368	DAL119	0162977	69	3818676 3820974 4000420 4050929 3915044 3969108 3961853 3913768 3929739 4091439 4176465 3920306 4000253 4093475 4096186 4096749 4096983 4129668 4152983 4164263 4176789 4180434 4181151 4181152 4277782 4278521 4279260 4279329 4280078 4280157 4280591 4280658 4280693 4280864 4280913 4281391 4282115 4277924 4277274 4180395 4279855 3931946 3969305 4372030 
002568	PK278	1168490	7	3710476 3820729 3904645 3973885 3910427 3881597 3910563 3678357 3708638 3819143 3821554 3694384 
002151	PK278	0168378	56	3584557 3820885 3901731 3902667 3915099 3915711 3921208 3957394 4001588 4001999 4091072 4093136 3579867 3788616 3883991 3970633 3816993 4093612 4092159 4095424 3822201 3904324 3923376 4002075 3583596 4003130 3988502 3995802 3968696 4007305 4093806 3789439 3891249 3901577 3994652 4075429 4094796 4095053 4095876 3936726 3937160 3951543 3956631 4003168 4003319 4086083 4090749 4096706 4132153 4155489 4157786 4162177 4174380 4174617 4174837 4175771 4176624 4176698 4180434 4193252 4193260 4252142 4270406 4276333 4278034 4278394 4278447 4278484 4279649 4280140 4280526 4280648 4280693 4280721 4282188 4140731 3931946 4093853 
004280	PK25	0949010	2	3820885 3902667 3910870 4003642 3579867 3708949 3816993 3910595 4086309 3579645 3583596 4086216 3844962 3684090 3789439 4086397 3790306 3914251 
011865	PK25	3092832	4	3759092 3820885 3579867 3929237 3583596 
006059	PK338	3818520	2	3788990 3797331 3821077 3610120 3820774 3820965 3821044 3821179 3691783 3818782 3956133 3716140 3774021 3820030 3789283 3789493 3818480 3816483 3821439 
002160	PK278	3926209	1	3619216 3822778 3854723 3869959 3906818 3928589 3929235 3930817 3989696 4041708 4095083 3725997 3890005 3902911 3907037 3913671 3913863 3964186 4000366 4095930 3708949 3845742 3902905 4003188 4093973 4174206 3823307 3915040 4044087 3789288 3823391 3902196 3768515 3910587 3911054 4002094 3816108 3931666 3914696 4175541 3789493 4014851 4015108 4043326 4086277 3539996 3576379 3899772 4170299 4278502 3901413 4280706 3858042 3910848 4095071 
004274	PK25	3092832	1	3846920 3904254 3915099 4037411 3994876 3910682 4090730 3910744 4175375 3816963 3879518 3668130 3819542 3834370 3910646 3910766 4055257 4127521 4143476 4146462 4176818 4181243 4279035 4280182 4371919 4371932 4371940 4372246 3885128 3914251 4093282 4137449 4371945 4268891 
