Course	Room	Teacher	Time	Students
004048	TH102	0031578	1	3212483 3331186 3337246 3339029 3343167 3397442 3406042 3406073 3431672 3436683 3483929 
006060	PK349	0431634	1	3281059 3331071 3334029 3369591 3415827 3416354 
004888	TH110	0031373	1	3221756 3319863 3340316 3344264 3352904 3401311 3402556 3404243 3404642 3405744 3413022 3415627 3417097 
006049	PK338	0031454	2	3236337 3341634 3359188 3404179 3413193 3413598 3413923 3414201 3414467 3416354 3430383 3430978 3431080 3432259 3433829 3436260 3439437 3439670 
002395	PK243	1051497	2	3248623 3375629 3405427 3412549 3412835 3417075 3420380 3436683 3438878 3455227 3458452 3463883 3576500 
013921	PK100	3483424	6	3249725 3352269 3375120 3433760 3439558 
001840	PK100	0168763	2	3250227 3319602 3329409 3339567 3404976 3411159 3414843 3415849 3434130 3435384 3435771 3438113 3438442 3443421 3455915 3458295 3460820 3460867 3462297 3462514 3463602 3463776 3463993 3464379 3471745 3479976 3484216 3485548 3576404 
001857	PK20	0123161	6	3250227 3360165 3397265 3436119 
002569	PK338	3393847	3	3319602 3379786 3443453 3455562 3462512 
002153	PK278	3415849	1	3330300 3375323 3421500 3436216 3436311 3437240 3438113 3438232 3438254 3440419 3441177 3443421 3445738 3451168 3453445 3455690 3455908 3455915 3456089 3457873 3458176 3459523 3460338 3460488 3461826 3462896 3462964 3463602 3465103 3466364 3475198 3477824 3480375 3481805 3481875 3481943 3484887 3486379 3486782 3487087 3576572 
004066	TH102	0854975	3	3330355 3414238 3463353 
002182	PK278	0428815	3	3331686 3363924 3405153 3411154 3411531 3413582 3414273 3414843 3415044 3415615 3415852 3417370 3433663 3435248 3440036 
001843	PK20	0056992	1	3337781 3341079 3341874 3404693 3404828 3405145 3405451 3411059 3414273 3415849 3417359 3428042 3428608 3430697 3432223 3432238 3433760 3436588 3436930 3441900 3451331 3458972 3460235 3462514 3462817 3463188 3481607 
001891	PK100	3459335	7	3338208 3388921 
013997	DAL300	3575049	3	3340324 3351895 3396208 3404196 3412997 3414124 3417273 3434079 3435722 3437089 3446653 3454439 3458949 3461469 
001871	PK20	3422398	4	3340879 3359188 3413014 3413728 3414273 3439670 
001896	PK20	0056992	5	3340879 3397709 3404148 3405151 
002161	PK278	1083806	2	3340879 3375544 3426735 3430152 3435070 3437534 3441900 3445081 3445680 3446832 3455719 3456677 3458451 3459522 3463022 3463188 3463526 3463589 3463675 3463745 3463768 3464027 3480710 3481419 3483467 3485288 3487041 
013193	PK100	0898918	3	3341079 3365824 3375389 3378849 3389676 3396460 3413521 3416203 3426735 3430383 3435070 
013627	PK20	3459335	2	3341079 3375389 3396461 3397265 3397709 3411531 3419470 3428042 3432238 3436311 3436930 3437240 3439558 3448679 3455631 3456228 
007007	DAL300	0028980	2	3342969 3397807 3416640 3430953 3431260 3432622 3433275 3439328 3441413 3452988 3455297 3458469 3460073 3462458 3463919 3464638 3474207 3481031 3481690 3482263 3482264 3483171 3483385 3485228 3486382 3487040 
